iyear,region_txt,0
1970,Australasia & Oceania,1
1970,Central America & Caribbean,7
1970,East Asia,2
1970,Eastern Europe,12
1970,Middle East & North Africa,28
1970,North America,472
1970,South America,65
1970,South Asia,1
1970,Southeast Asia,10
1970,Sub-Saharan Africa,3
1970,Western Europe,50
1971,Australasia & Oceania,1
1971,Central America & Caribbean,5
1971,East Asia,1
1971,Eastern Europe,5
1971,Middle East & North Africa,55
1971,North America,247
1971,South America,24
1971,Southeast Asia,6
1971,Sub-Saharan Africa,2
1971,Western Europe,125
1972,Australasia & Oceania,8
1972,Central America & Caribbean,3
1972,Eastern Europe,1
1972,Middle East & North Africa,53
1972,North America,73
1972,South America,33
1972,South Asia,1
1972,Southeast Asia,16
1972,Sub-Saharan Africa,4
1972,Western Europe,376
1973,Australasia & Oceania,1
1973,Central America & Caribbean,6
1973,East Asia,2
1973,Eastern Europe,1
1973,Middle East & North Africa,19
1973,North America,64
1973,South America,83
1973,South Asia,1
1973,Southeast Asia,2
1973,Sub-Saharan Africa,4
1973,Western Europe,290
1974,Australasia & Oceania,1
1974,Central America & Caribbean,11
1974,East Asia,4
1974,Eastern Europe,2
1974,Middle East & North Africa,42
1974,North America,111
1974,South America,81
1974,South Asia,2
1974,Southeast Asia,3
1974,Sub-Saharan Africa,7
1974,Western Europe,317
1975,Central America & Caribbean,9
1975,East Asia,12
1975,Middle East & North Africa,44
1975,North America,159
1975,South America,55
1975,South Asia,4
1975,Southeast Asia,7
1975,Sub-Saharan Africa,12
1975,Western Europe,438
1976,Central America & Caribbean,45
1976,East Asia,2
1976,Middle East & North Africa,55
1976,North America,125
1976,South America,91
1976,South Asia,4
1976,Southeast Asia,12
1976,Sub-Saharan Africa,11
1976,Western Europe,578
1977,Central America & Caribbean,24
1977,East Asia,4
1977,Eastern Europe,2
1977,Middle East & North Africa,211
1977,North America,149
1977,South America,119
1977,South Asia,2
1977,Southeast Asia,8
1977,Sub-Saharan Africa,29
1977,Western Europe,771
1978,Australasia & Oceania,2
1978,Central America & Caribbean,199
1978,East Asia,35
1978,Eastern Europe,2
1978,Middle East & North Africa,128
1978,North America,117
1978,South America,222
1978,South Asia,2
1978,Southeast Asia,44
1978,Sub-Saharan Africa,46
1978,Western Europe,729
